date,areaName,areaCode,confirmedRate,latestBy,confirmed,deathNew,death,deathRate
2022-03-22,United Kingdom,K02000001,30431.4,94524,20413731,250,163929,244.4
2022-03-21,United Kingdom,K02000001,30290.8,226524,20319434,169,163679,244.0
2022-03-20,United Kingdom,K02000001,29954.4,0,20093762,0,163511,243.8
2022-03-19,United Kingdom,K02000001,29954.4,0,20093762,0,163511,243.8
2022-03-18,United Kingdom,K02000001,29954.4,90349,20093762,126,163511,243.8
2022-03-17,United Kingdom,K02000001,29817.0,89717,20001627,138,163386,243.6
2022-03-16,United Kingdom,K02000001,29682.2,91345,19911155,153,163248,243.4
2022-03-15,United Kingdom,K02000001,29546.5,109802,19820181,200,163095,243.1
2022-03-14,United Kingdom,K02000001,29368.8,170985,19700952,135,162873,242.8
2022-03-13,United Kingdom,K02000001,29114.7,0,19530485,0,162738,242.6
2022-03-12,United Kingdom,K02000001,29114.7,0,19530485,0,162738,242.6
2022-03-11,United Kingdom,K02000001,29114.7,72898,19530485,114,162738,242.6
2022-03-10,United Kingdom,K02000001,29006.6,71259,19457976,142,162624,242.4
2022-03-09,United Kingdom,K02000001,28881.2,67159,19373884,123,162482,242.2
2022-03-08,United Kingdom,K02000001,28781.5,61900,19307014,212,162359,242.0
2022-03-07,United Kingdom,K02000001,28689.5,126604,19245301,139,162147,241.7
2022-03-06,United Kingdom,K02000001,28501.5,0,19119181,0,162008,241.5
2022-03-05,United Kingdom,K02000001,28501.5,0,19119181,0,162008,241.5
2022-03-04,United Kingdom,K02000001,28501.5,44740,19119181,110,162008,241.5
2022-03-03,United Kingdom,K02000001,28435.2,45656,19074696,194,161898,241.3
2022-03-02,United Kingdom,K02000001,28367.6,44017,19029321,74,161704,241.1
2022-03-01,United Kingdom,K02000001,28302.4,39000,18985568,194,161630,240.9
2022-02-28,United Kingdom,K02000001,28155.0,82451,18886701,138,161361,240.5
2022-02-27,United Kingdom,K02000001,28032.8,0,18804765,0,161224,240.3
2022-02-26,United Kingdom,K02000001,28032.8,0,18804765,0,161224,240.3
2022-02-25,United Kingdom,K02000001,28032.8,31933,18804765,120,161224,240.3
2022-02-24,United Kingdom,K02000001,27985.7,38933,18773164,125,161104,240.2
2022-02-23,United Kingdom,K02000001,27928.4,39656,18734683,164,160979,240.0
2022-02-22,United Kingdom,K02000001,27869.9,41130,18695448,205,160815,239.7
2022-02-21,United Kingdom,K02000001,27808.9,38409,18654572,15,160610,239.4
2022-02-20,United Kingdom,K02000001,27752.1,31170,18616433,74,160595,239.4
2022-02-19,United Kingdom,K02000001,27705.8,39693,18585423,142,160521,239.3
2022-02-18,United Kingdom,K02000001,27647.4,47685,18546205,158,160379,239.1
2022-02-17,United Kingdom,K02000001,27577.1,51899,18499058,183,160221,238.8
2022-02-16,United Kingdom,K02000001,27500.5,54218,18447706,199,160038,238.6
2022-02-15,United Kingdom,K02000001,27420.4,46186,18393951,234,159839,238.3
2022-02-14,United Kingdom,K02000001,27352.0,41648,18348029,35,159605,237.9
2022-02-13,United Kingdom,K02000001,27290.4,41270,18306704,52,159570,237.9
2022-02-12,United Kingdom,K02000001,27229.5,46025,18265918,167,159518,237.8
2022-02-11,United Kingdom,K02000001,27161.9,58899,18220515,193,159351,237.5
2022-02-10,United Kingdom,K02000001,27074.9,66638,18162199,206,159158,237.3
2022-02-09,United Kingdom,K02000001,26833.3,68214,18000119,276,158953,237.0
2022-02-08,United Kingdom,K02000001,26733.0,66183,17932803,314,158677,236.5
2022-02-07,United Kingdom,K02000001,26634.3,57623,17866632,45,158363,236.1
2022-02-06,United Kingdom,K02000001,26549.1,57337,17809459,75,158318,236.0
2022-02-05,United Kingdom,K02000001,26464.8,63493,17752892,259,158243,235.9
2022-02-04,United Kingdom,K02000001,26370.8,84053,17689885,254,157984,235.5
2022-02-03,United Kingdom,K02000001,26248.5,88171,17607832,303,157730,235.1
2022-02-02,United Kingdom,K02000001,26117.2,92594,17519708,552,157427,234.7
2022-02-01,United Kingdom,K02000001,25981.0,112458,17428345,219,156875,233.9
2022-01-31,United Kingdom,K02000001,25813.3,92368,17315893,51,155754,232.2
2022-01-30,United Kingdom,K02000001,24564.9,69007,16478467,91,155704,232.1
2022-01-29,United Kingdom,K02000001,24462.1,76069,16409459,296,155613,232.0
2022-01-28,United Kingdom,K02000001,24349.6,89176,16333980,277,155317,231.5
2022-01-27,United Kingdom,K02000001,24217.6,96871,16245474,338,155040,231.1
2022-01-26,United Kingdom,K02000001,24074.3,102292,16149319,346,154702,230.6
2022-01-25,United Kingdom,K02000001,23922.8,94326,16047716,439,154356,230.1
2022-01-24,United Kingdom,K02000001,23782.6,88447,15953685,56,153916,229.4
2022-01-23,United Kingdom,K02000001,23652.4,78317,15866316,75,153862,229.4
2022-01-22,United Kingdom,K02000001,23535.5,80263,15787937,297,153787,229.3
2022-01-21,United Kingdom,K02000001,23418.0,95787,15709059,288,153490,228.8
2022-01-20,United Kingdom,K02000001,23275.2,107364,15613283,330,153202,228.4
2022-01-19,United Kingdom,K02000001,23116.4,108069,15506750,359,152872,227.9
2022-01-18,United Kingdom,K02000001,22956.2,94432,15399300,438,152513,227.4
2022-01-17,United Kingdom,K02000001,22816.2,84429,15305410,85,152075,226.7
2022-01-16,United Kingdom,K02000001,22690.9,75041,15221366,91,151990,226.6
2022-01-15,United Kingdom,K02000001,22580.2,81713,15147099,287,151899,226.4
2022-01-14,United Kingdom,K02000001,22459.9,99652,15066395,270,151612,226.0
2022-01-13,United Kingdom,K02000001,22313.0,109133,14967817,335,151342,225.6
2022-01-12,United Kingdom,K02000001,22155.4,129587,14862138,398,151007,225.1
2022-01-11,United Kingdom,K02000001,21962.3,120821,14732594,379,150609,224.5
2022-01-10,United Kingdom,K02000001,21790.5,142224,14617314,77,150230,224.0
2022-01-09,United Kingdom,K02000001,21578.6,141472,14475192,97,150154,223.8
2022-01-08,United Kingdom,K02000001,21367.8,146390,14333794,313,150057,223.7
2022-01-07,United Kingdom,K02000001,21158.3,178250,14193228,229,149744,223.2
2022-01-06,United Kingdom,K02000001,20892.7,179756,14015065,231,149515,222.9
2022-01-05,United Kingdom,K02000001,20624.7,194747,13835334,334,149284,222.5
2022-01-04,United Kingdom,K02000001,20335.8,218724,13641520,49,148950,222.0
2022-01-03,United Kingdom,K02000001,20009.8,157758,13422815,42,148901,222.0
2022-01-02,United Kingdom,K02000001,19776.7,151663,13266431,73,148859,221.9
2022-01-01,United Kingdom,K02000001,19554.6,179637,13117469,162,148786,221.8
2021-12-31,United Kingdom,K02000001,19286.9,189846,12937886,203,148624,221.6
2021-12-30,United Kingdom,K02000001,19003.9,189213,12748050,332,148421,221.3
2021-12-29,United Kingdom,K02000001,18723.5,183037,12559926,57,148089,220.8
2021-12-28,United Kingdom,K02000001,18452.0,138831,12377822,19,148032,220.7
2021-12-27,United Kingdom,K02000001,18246.2,109077,12239797,143,148013,220.6
2021-12-26,United Kingdom,K02000001,18085.7,119923,12132098,3,147870,220.4
2021-12-25,United Kingdom,K02000001,17908.4,121880,12013153,10,147867,220.4
2021-12-24,United Kingdom,K02000001,17726.7,122186,11891292,137,147857,220.4
2021-12-23,United Kingdom,K02000001,17545.8,119789,11769921,147,147720,220.2
2021-12-22,United Kingdom,K02000001,17363.2,109655,11647473,140,147573,220.0
2021-12-21,United Kingdom,K02000001,17206.2,90629,11542143,172,147433,219.8
2021-12-20,United Kingdom,K02000001,17073.5,91743,11453121,44,147261,219.5
2021-12-19,United Kingdom,K02000001,16936.8,82886,11361387,45,147218,219.5
2021-12-18,United Kingdom,K02000001,16814.6,90418,11279428,125,147173,219.4
2021-12-17,United Kingdom,K02000001,16681.8,93045,11190354,111,147048,219.2
2021-12-16,United Kingdom,K02000001,16543.9,88376,11097851,146,146937,219.0
2021-12-15,United Kingdom,K02000001,16413.4,78610,11010286,165,146791,218.8
2021-12-14,United Kingdom,K02000001,16297.5,59610,10932545,150,146627,218.6
2021-12-13,United Kingdom,K02000001,16209.4,54661,10873468,38,146477,218.4
2021-12-12,United Kingdom,K02000001,16129.0,48854,10819515,52,146439,218.3
2021-12-11,United Kingdom,K02000001,16057.3,54073,10771444,132,146387,218.2
2021-12-10,United Kingdom,K02000001,15979.4,58194,10719165,120,146255,218.0
2021-12-09,United Kingdom,K02000001,15892.6,50867,10660981,148,146135,217.8
2021-12-08,United Kingdom,K02000001,15818.1,51342,10610958,161,145987,217.6
2021-12-07,United Kingdom,K02000001,15742.6,45691,10560341,180,145826,217.4
2021-12-06,United Kingdom,K02000001,15675.4,51459,10515239,41,145646,217.1
2021-12-05,United Kingdom,K02000001,15599.6,43992,10464389,54,145605,217.1
2021-12-04,United Kingdom,K02000001,15535.1,42848,10421104,127,145551,217.0
2021-12-03,United Kingdom,K02000001,15473.2,50584,10379647,143,145424,216.8
2021-12-02,United Kingdom,K02000001,15397.9,53945,10329074,141,145281,216.6
2021-12-01,United Kingdom,K02000001,15318.8,48374,10276007,171,145140,216.4
2021-11-30,United Kingdom,K02000001,15248.3,39716,10228772,159,144969,216.1
2021-11-29,United Kingdom,K02000001,15189.1,42583,10189059,35,144810,215.9
2021-11-28,United Kingdom,K02000001,15126.3,37681,10146915,51,144775,215.8
2021-11-27,United Kingdom,K02000001,15071.9,39567,10110408,131,144724,215.7
2021-11-26,United Kingdom,K02000001,15012.9,50091,10070841,160,144593,215.5
2021-11-25,United Kingdom,K02000001,14939.3,47240,10021497,147,144433,215.3
2021-11-24,United Kingdom,K02000001,14869.8,43676,9974843,149,144286,215.1
